lesson 9.10.2024,
ready,جاهز - جاهزة - جاهزين
colorful,ملون
navy color,كحلي
haargummi,توكة
in general,بشكل عام
to suggest ,اقترح - يقترح
to arrive,وصل - يوصل
to deliver - to bring someone somewhere,وصّل - يوصّل
quietness - calmness,الهدوء
,الهدوء عكس الدوشة
quiet - calm ,هادي - هادية - هاديين
home- style cooking \ food from home \ home- made food \ made at home ,أكل بيتي
restaurant food - prepared food - meal ready to eat,أكل جاهز
to stand up - to stop,وقف - يقف
situation,موقف ج. مواقف
to fix - to repair,صلّح - يصلّح
to need,احتاج - يحتاج
do u need a help?,محتاج مساعدة؟
he wants me, هو عايزني
he understands me,هو فاهمني
do u want me to help you at cleaning the house?,أساعدك في تنضيف البيت؟
National Museum of Egyptian Civilization ,متحف الحضارة
minute,دقيقة ج. دقايق
lesson 17.10.2024,
strong,قوي
weak,ضعيف
high,عالي
low,واطي
condition ,شرط ج. شروط
free,حر - حرة
situation,موقف ج. مواقف
